url_path,views_total,views_unique
/vishal2376/scroll-block,615,399
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock,310,73
/vishal2376/scroll-block/tree/master/app,248,82
/vishal2376/scroll-block/tree/master/app/src,227,79
/vishal2376/scroll-block/tree/master/app/src/main,223,78
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock/presentation,126,36
/vishal2376/scroll-block/tree/master/app/src/main/java/com/vishal2376/scrollblock/services,114,38
/vishal2376/scroll-block/blob/master/app/src/main/java/com/vishal2376/scrollblock/services/ScrollAccessibility.kt,103,38
/vishal2376/scroll-block/releases/tag/v1.0-beta02,88,71
/vishal2376/scroll-block/releases,86,57
